CAMIS,RESTAURANT,BUILDING,STREET,ZIPCODE,PHONE,CUISINE_DESCRIPTION,CRITICALFLAG
50100495,AUX MERVEILLEUX DE FRED,37,8 AVENUE,10014.0,9174751992,Bakery,Not Critical
50086567,GFG BAKERY CAFE,32,BROADWAY,10004.0,2129792790,European,Critical
40388818,YAMA JAPANESE RESTAURANT,122,EAST   17 STREET,10003.0,2124750969,Japanese,Not Critical
50068448,KUNG FU LITTLE STEAMED BUNS RAMEN,146,EAST   55 STREET,10022.0,2128048556,Chinese,Critical
50014229,AINSWORTH MIDTOWN,45,EAST   33 STREET,10016.0,2122011228,American,Not Critical
50095880,MADMAN ESPRESSO,234,WEST   35 STREET,10001.0,6467081111,Coffee/Tea,Critical
50019120,NEW TOPAZ,127,WEST   56 STREET,10019.0,2129578020,Thai,Critical
41577301,COPPELIA CUBAN LUNCHEONETTE,207,WEST   14 STREET,10011.0,2128585001,Latin American,Critical
50098726,SWEETGREEN,347,BOWERY,10003.0,9175124723,Soups_Salads_Sandwiches_Beverages,Critical
40704315,RAMEN-YA,181,WEST    4 STREET,10014.0,2129895440,Japanese,Critical
50035244,MAMO RESTAURANT,323,WEST BROADWAY,10013.0,6469644641,Italian,Critical
50036584,BAR GOTO,245,ELDRIDGE STREET,10002.0,2124754411,Japanese,Critical
50110563,WOK IN THE CLOUDS,127,EAST   28 STREET,10016.0,2127846498,Indian Subcontinent,Not Critical
41665255,MCHALE'S BAR & GRILL,251,WEST   51 STREET,10019.0,2129575138,Irish,Not Critical
50049620,CHA CHA MATCHA,373,BROOME STREET,10013.0,3108800364,Coffee/Tea,Not Critical
50081491,ANATOLIA MEDITERRENEAN CUISINE,401,EAST   62 STREET,10065.0,2122237500,Mediterranean,Critical
50000999,BAREBURGER,1681,1 AVENUE,10128.0,2123901344,American,Critical
50054965,PA PA THAI CUISINE,1069,1 AVENUE,10022.0,2127529277,Thai,Not Critical
50111156,CORK WINE BAR,69,THOMPSON STREET,10012.0,6466698169,French,Not Critical
50099363,K-POP HAUS,353,WEST   14 STREET,10014.0,9175664959,Korean,Critical
50018146,GREGORY'S COFFEE,20,EAST   40 STREET,10016.0,2125108208,Coffee/Tea,Not Critical
40624409,FAMOUS FISH MARKET,684,ST NICHOLAS AVENUE,10030.0,2124918323,Seafood,Not Critical
